,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG                                                                                                                             ,INTPTLAT,geoid
1617,233.0,595.0,38.7,1321.0,95.27,0.14,1449.0,0.84,5.1,0.34,62876.0,482000.0,42.7,1693.0,5.7,1208.0,0.7,0.16,646.0,2565.0,127.0,0.0,-73.8900443,40.7034917,36081057900.0
1618,431.0,1279.0,39.2,1421.0,81.25,0.35,1548.0,0.04,5.8,0.08,91933.0,385500.0,52.5,3654.0,4.944467353951887,1094.0,0.32,0.03,734.0,2466.0,128.0,0.0,-73.7307152,40.7072457,36081058000.0
1619,386.0,1247.0,35.0,1342.0,80.53,0.23,1449.0,0.91,4.8,0.4,87208.0,456800.0,38.7,2865.0,2.8,1208.0,0.64,0.06,1005.0,2542.0,189.0,0.0,-73.8938082,40.7039574,36081058100.0
1620,804.0,2396.0,37.9,1548.0,90.94,0.39,1476.0,0.03,5.8,0.11,90648.0,386900.0,47.0,5268.0,4.944467353951887,1012.0,0.27,0.05,854.0,2520.0,179.0,0.0,-73.7375538,40.706989,36081058200.0
1621,325.0,1212.0,35.8,1381.0,89.09,0.17,1404.0,0.79,4.8,0.4,83123.0,553500.0,40.3,3572.0,4.944467353951887,1302.0,0.69,0.08,746.0,3559.0,308.0,0.0,-73.8976203,40.701938,36081058300.0
1622,591.0,1811.0,35.2,1404.0,98.85,0.18,1381.0,0.79,4.8,0.45,71591.0,548900.0,41.4,4685.0,3.1,1302.0,0.73,0.17,776.0,2949.0,438.0,0.0,-73.8994203,40.704371,36081058500.0
1623,567.0,1843.0,38.3,1302.0,82.28,0.18,1540.0,0.88,4.6,0.25,63156.0,491700.0,38.0,3467.0,4.944467353951887,1318.0,0.78,0.13,636.0,3068.0,361.0,1.0,-73.9002784,40.7071439,36081058700.0
1624,721.0,2078.0,31.1,1331.0,102.16,0.22,1403.0,0.86,4.4,0.43,52684.0,496600.0,38.8,4587.0,1.1,1213.0,0.83,0.15,621.0,3165.0,594.0,0.0,-73.9050398,40.7062404,36081058900.0
1625,140.0,514.0,44.5,1383.0,68.15,0.47,1548.0,0.01,6.4,0.06,84505.0,382800.0,47.1,1399.0,4.944467353951887,1012.0,0.14,0.08,671.0,2233.0,96.0,0.0,-73.7369979,40.7012577,36081059000.0
1626,843.0,2262.0,35.6,1213.0,96.26,0.3,1403.0,0.86,4.3,0.46,73776.0,490200.0,38.0,5142.0,4.8,1289.0,0.9,0.11,852.0,2337.0,251.0,0.0,-73.9097807,40.7081118,36081059100.0
