,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
1643,1305.0,1117.0,,1991.0,98.1,0.23,1828.0,0.5,6.9,0.34,115443.0,348300.0,34.2,7507.0,0.0,1083.0,0.23,0.04,835.0,2236.0,689.0,0.0,-118.1947725,34.6173553,6037910210.0
1644,622.0,243.0,,1083.0,107.1,0.25,1991.0,0.81,7.1,0.26,113924.0,360300.0,28.9,4053.0,0.0,1233.0,0.18,0.06,680.0,2323.0,247.0,0.0,-118.2230352,34.638275,6037910301.0
1645,1024.0,874.0,,1739.0,98.5,0.26,1991.0,0.73,6.8,0.37,112690.0,362400.0,28.1,5476.0,0.0,1083.0,0.19,0.08,628.0,2189.0,394.0,0.0,-118.2221613,34.6227294,6037910302.0
1646,989.0,1835.0,,1456.0,114.1,0.24,1828.0,0.51,6.1,0.45,96361.0,300300.0,44.1,6823.0,4.6,781.0,0.4,0.06,672.0,1873.0,668.0,1.0,-118.1537675,34.5747184,6037910401.0
1647,758.0,947.0,,912.0,90.1,0.21,1456.0,0.22,4.3,0.72,45455.0,135900.0,42.4,3771.0,3.5,781.0,0.74,0.12,460.0,1263.0,521.0,1.0,-118.1256195,34.5834907,6037910402.0
1648,538.0,697.0,,845.0,88.4,0.12,1342.0,0.2,4.0,0.87,27243.0,207100.0,35.2,2018.0,16.2,781.0,0.92,0.08,607.726253298153,1257.0,291.0,1.0,-118.1254252,34.576145,6037910403.0
1649,817.0,1419.0,,1342.0,92.9,0.19,1307.0,0.34,5.4,0.74,60955.0,221900.0,43.9,4350.0,0.0,781.0,0.42,0.13,443.0,1532.0,419.0,0.0,-118.1228242,34.5646789,6037910404.0
1650,977.0,1098.0,,781.0,80.6,0.17,1342.0,0.29,3.7,0.59,26791.0,569234.468339307,34.8,5090.0,7.0,845.0,0.97,0.14,277.0,1069.0,978.0,1.0,-118.112519,34.5802057,6037910501.0
1651,985.0,1261.0,,1033.0,104.7,0.2,1367.0,0.24,4.8,0.72,40326.0,148900.0,48.9,4439.0,2.1,781.0,0.64,0.06,435.0,1271.0,414.0,1.0,-118.1008047,34.5800249,6037910502.0
1652,1070.0,1204.0,,1183.0,88.9,0.12,1342.0,0.33,5.3,0.69,50482.0,187100.0,43.5,4750.0,0.0,781.0,0.37,0.11,368.0,1466.0,453.0,0.0,-118.1046034,34.5690669,6037910504.0
1653,749.0,823.0,,1307.0,101.3,0.14,1342.0,0.35,5.6,0.65,80396.0,223100.0,47.2,3267.0,7.9,781.0,0.2,0.1,479.0,1430.0,206.0,0.0,-118.1040565,34.5617295,6037910505.0
1654,1298.0,1830.0,,1367.0,87.7,0.2,1614.0,0.36,5.7,0.7,51017.0,174900.0,47.1,6843.0,6.3,1033.0,0.33,0.1,364.0,1368.0,809.0,0.0,-118.0773655,34.5829354,6037910601.0
1655,668.0,1119.0,,1214.0,90.1,0.26,1614.0,0.41,4.3,0.56,48061.0,143400.0,40.2,4322.0,5.7,1033.0,0.56,0.19,450.0,1423.0,429.0,0.0,-118.07892,34.5769105,6037910602.0
1656,1303.0,1981.0,,1161.0,96.3,0.18,1614.0,0.46,5.4,0.69,57828.0,211100.0,46.0,6713.0,6.6,1183.0,0.44,0.11,434.0,1403.0,454.0,0.0,-118.0850295,34.565463,6037910603.0
1657,1023.0,1151.0,,1325.0,79.6,0.21,1750.0,0.31,5.2,0.71,57077.0,191300.0,51.2,4710.0,0.0,1214.0,0.4,0.1,402.0,1436.0,671.0,0.0,-118.0627805,34.5684895,6037910605.0
1658,806.0,988.0,,1614.0,92.3,0.26,1750.0,0.31,5.7,0.69,60012.0,213600.0,44.2,3476.0,0.0,1161.0,0.31,0.1,416.0,1331.0,353.0,0.0,-118.0672703,34.5618494,6037910606.0
1659,2641.0,3913.0,,1777.0,108.8,0.17,1750.0,0.38,6.4,0.76,76776.0,259700.0,47.3,11788.0,0.0,947.0,0.22,0.06,621.0,1623.0,763.0,0.0,-118.0171136,34.569564,6037910705.0
1660,1528.0,1666.0,,1422.0,105.7,0.18,2427.0,0.4,6.0,0.7,61007.0,253500.0,42.3,6212.0,7.8,1243.0,0.26,0.13,523.0,1668.0,636.0,0.0,-117.9994644,34.5534723,6037910706.0
1661,829.0,1114.0,,1161.0,88.9,0.28,1538.6825581395349,0.37,5.4,0.62,60126.0,211200.0,40.7,4940.0,3.2,1033.0,0.4,0.1,597.0,1471.0,631.0,0.0,-118.1036897,34.5504277,6037910707.0
1662,396.0,456.0,,2427.0,120.2,0.21,1750.0,0.48,6.8,0.62,84173.0,349800.0,47.4,2006.0,0.0,1243.0,0.14,0.12,598.0,2578.0,162.0,0.0,-118.0410758,34.5285118,6037910709.0
1663,1225.0,2360.0,,1243.0,116.7,0.15,1750.0,0.44,5.3,0.69,85365.0,180500.0,40.8,7753.0,0.0,1325.0,0.29,0.17,404.0,1488.0,796.0,0.0,-118.0525873,34.5690369,6037910711.0
1664,440.0,985.0,,1750.0,96.2,0.32,1614.0,0.38,6.6,0.68,74373.0,260400.0,45.3,2924.0,5.1,1243.0,0.19,0.07,616.0,1758.0,189.0,0.0,-118.0529587,34.5516547,6037910712.0
1665,1119.0,1773.0,,1585.0,106.4,0.21,1777.0,0.35,6.2,0.71,66572.0,249500.0,48.2,5705.0,0.0,947.0,0.19,0.08,657.0,1514.0,463.0,0.0,-118.0366123,34.5770039,6037910713.0
