,EDUCATIONAL ATTAINMENT Less than 9th grade,HEALTH INSURANCE COVERAGE With private health insurance,Construction,White,"Educational services, and health care and social assistance",Retail trade,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Median age (years),Mean travel time to work (minutes),Sex ratio (males per 100 females),GROSS RENT Occupied units paying rent Median (dollars),YEAR OF ENTRY Foreign born,relation_min_fee,Total population,Own children of the householder under 6 years,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Mean household income (dollars),VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),relation_max_fee,Total housing units,Own children of the householder 6 to 17 years,Rental vacancy rate,"Professional, scientific, and management, and administrative and waste management services","Arts, entertainment, and recreation, and accommodation and food services",ROOM Median rooms,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,Black or African American,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",VEHICLES AVAILABLE No vehicles available,Hispanic or Latino (of any race),HOUSING TENURE Renter-occupied,PLACE OF BIRTH Native Different state,VEHICLES AVAILABLE 3 or more vehicles available,geoid,label
1626,0.06,0.47,0.02,0.11,0.14,0.09,0.46,36.3,46.5,100.86,1314.0,2199.0,1399.0,3033.0,171.0,2711.0,73070.0,657900.0,716.0,1595.0,1169.0,165.0,7.3,0.11,0.18,4.0,0.25,0.2795633876906861,0.07,0.53,0.21,0.55,0.02,0.04,36081045700.0,0.0
1627,0.04,0.52,0.04,0.14,0.28,0.17,0.64,34.2,47.1,95.3,1378.0,1371.0,1220.0,2246.0,250.0,3300.0,97620.0,583700.0,906.0,1694.0,722.0,328.0,4.0,0.09,0.07,4.4,0.42,0.14,0.06,0.32,0.09,0.59,0.06,0.05,36081045800.0,1.0
1628,0.3,0.44,0.09,0.22,0.14,0.11,0.62,37.3,43.1,116.1,1533.0,2546.0,1241.0,3691.0,180.0,3169.0,67872.0,646800.0,888.0,1595.0,1261.0,478.0,2.8,0.12,0.15,4.3,0.24,0.01,0.1,0.47,0.43,0.64,0.03,0.05,36081045900.0,0.0
1629,0.18,0.28,0.05,0.1,0.18,0.16,0.54,35.2,45.4,90.11,1220.0,3830.0,1206.0,5920.0,695.0,2580.0,43276.0,363500.0,835.5364006988934,1694.0,2079.0,966.0,7.1,0.09,0.11,3.1,0.32,0.17,0.1,0.66,0.27,0.87,0.03,0.01,36081046000.0,0.0
1630,0.25,0.31,0.12,0.27,0.17,0.2,0.43,36.3,41.4,136.09,1595.0,1943.0,1241.0,2767.0,226.0,2640.0,63645.0,678000.0,780.0,1533.0,816.0,363.0,3.2,0.05,0.24,4.3,0.26,0.01,0.12,0.58,0.41,0.73,0.01,0.03,36081046100.0,0.0
1631,0.19,0.27,0.1,0.16,0.21,0.14,0.73,31.7,48.8,86.21,1388.0,5471.0,1220.0,8694.0,570.0,2265.0,57231.0,443100.0,727.0,1694.0,2199.0,1389.0,2.1,0.1,0.16,3.8,0.32,0.12,0.07,0.58,0.38,0.75,0.03,0.02,36081046200.0,0.0
1632,0.27,0.34,0.15,0.42,0.07,0.15,0.65,34.8,40.7,101.86,1466.0,2689.0,1241.0,4023.0,341.0,2856.0,65207.0,730800.0,917.0,1595.0,1228.0,594.0,4.944467353951887,0.05,0.24,4.2,0.25,0.02,0.15,0.49,0.61,0.69,0.02,0.05,36081046300.0,0.0
1633,0.03,0.75,0.05,0.3,0.38,0.1,0.49,29.6,45.8,79.64,1420.0,706.0,1220.0,1685.0,148.0,3639.0,111739.0,621300.0,945.0,1694.0,553.0,98.0,12.4,0.11,0.09,4.5,0.33,0.27,0.06,0.28,0.27,0.49,0.14,0.06,36081046400.0,0.0
1634,0.29,0.28,0.14,0.54,0.1,0.07,0.66,31.0,44.4,122.75,1375.0,2243.0,1241.0,3348.0,347.0,4000.0,50222.0,706300.0,850.0,1483.0,1015.0,303.0,2.9,0.1,0.31,3.7,0.36,0.2795633876906861,0.13,0.69,0.79,0.81,0.01,0.03,36081046500.0,0.0
1635,0.1,0.57,0.03,0.15,0.4,0.07,0.57,36.4,42.3,80.12,1567.0,1957.0,1220.0,3660.0,287.0,1472.0,86430.0,174500.0,838.0,1694.0,1483.0,429.0,4.944467353951887,0.1,0.06,3.3,0.34,0.26,0.04,0.34,0.13,0.71,0.06,0.02,36081046600.0,0.0
