tract_id,house_num,shape_area,shape_length,target
06037143902,858,3755390.4829854113,230721.0313001459,0
06037183101,962,2215039.299605783,174956.1185650652,0
06037183103,503,1522232.3994861557,106157.11401939494,0
06037183402,520,1404812.7189080482,104373.8221653717,0
06037183820,285,859619.1165605504,62707.67467695792,0
06037185203,516,1364361.7458115725,96171.94481015448,0
06037185310,498,1248841.969260795,95579.6632869583,0
06037185320,492,1744608.9304489128,100891.90898470671,0
06037186201,450,1309617.4998478657,91276.72103299346,0
06037186202,407,1281127.2866201166,85632.07566196928,0
06037186203,967,2002385.7957542497,171599.56881372124,0
06037186302,1282,3118509.5621760823,243630.48244235065,0
06037186404,348,915527.8424620706,67272.17998945776,0
06037188201,522,2200725.74885974,131634.06426919243,0
06037188202,654,2039284.9792022388,144360.95647104975,0
06037189101,346,1476544.0821041986,86371.28092250937,0
06037189102,399,2363933.1750573167,120011.14297177223,0
06037189201,259,1447791.1957158388,78712.93116941571,0
06037189202,822,2583914.937611702,187679.93569693383,0
06037189701,960,4320357.593465155,246778.23722651112,0
06037189702,519,2126312.8502319036,126707.98019251491,0
06037189902,272,2072965.5891292808,94797.39108864666,0
06037189903,23,845353.1210090931,19813.113289545814,0
06037189904,79,924648.5259924346,35372.226268366685,0
06037189905,200,1284689.9304875527,59968.07422785457,0
06037190201,73,889168.9353493684,31730.70004153846,0
06037190202,81,1436391.633551537,46148.158442328386,0
06037190301,238,1660019.900876656,83919.47937039802,0
06037190401,118,1048783.96098284,49649.44820103693,0
06037190402,96,1021390.5925593534,44027.23891996306,0
06037190901,263,2400677.7485404294,87916.2022818765,0
06037191203,176,852321.1490095435,51535.56521021915,0
06037191410,181,1576718.074943536,62962.42873533782,0
06037191710,360,3929500.2551863287,134789.18565626087,0
06037191901,329,5154769.312786899,149093.68657480844,0
06037191902,688,2649809.5424103076,165781.2392686106,0
06037192001,426,2358167.7477834914,118656.57351839895,0
06037192002,952,3040419.006454697,209456.9528054312,0
06037192510,349,1513428.7412813168,90082.42317216063,0
06037192520,327,1308561.9077675808,82443.84457533428,0
06037192610,284,1291483.395077871,80211.83128002705,0
06037192620,156,958024.691538858,48344.21496768396,0
06037194101,673,2893542.996676188,176665.440416019,0
06037194102,1487,5316729.905888028,360157.70943543833,0
06037194401,494,1955126.8648093785,120739.14123184734,0
06037194402,500,2491591.5218862137,137052.70775372093,0
06037195201,522,2035537.6878316028,126716.38590722525,0
06037195202,997,3109220.61231881,194272.8287399506,0
06037199120,419,4465848.374752568,132478.17838639542,0
06037199201,420,1454264.3138918318,95046.14137782656,0
06037201110,598,1202548.0896307677,106612.74488515279,0
06037201302,354,2516877.2045153216,109199.2594240171,0
06037201401,661,2006102.2281329613,135288.41227943817,0
06037201402,1176,4895034.802855235,259264.73772406828,0
06037201501,1067,2334019.3502061768,194151.26755095716,0
06037201503,457,1154499.9308095588,87459.39258314314,0
06037201601,486,1125717.9619842311,93295.27922235397,0
06037201602,702,2436574.2921719435,150491.73782131792,0
06037203710,348,790406.5683739701,64100.079616244795,0
06037204110,407,811195.6886021816,69907.19788313148,0
06037204120,350,680049.633047536,60601.142437144495,0
06037204410,242,688763.645609048,49869.08291437503,0
06037204810,613,1609532.8516538164,117863.17630100579,0
06037204910,398,1097397.6490523387,77574.71627662098,0
06037205110,166,732070.2314651534,49817.958528657946,0
06037205120,507,9884686.60959282,253622.42052314477,0
06037206010,393,4638278.493584798,156495.92348338614,0
06037206020,98,6768282.759009854,121387.77636172698,0
06037207103,131,1782954.0074399845,57721.19848192729,0
06037208301,60,299239.35032020835,17858.369552230957,0
06037208402,305,1031865.288582951,64720.28392757363,0
06037208620,267,1217920.177624825,67185.96497743027,0
06037208902,52,953407.1428598193,28337.937079556577,0
06037208903,64,823118.5729232649,32430.103453853095,0
06037209102,102,1668264.051244921,51324.27421190908,0
06037209104,27,407407.05843856744,14772.485827051389,0
06037209820,211,672816.1718122415,44365.46184080741,0
06037210010,145,2050939.912536804,58339.19006809991,0
06037211120,156,3305931.3933934234,87241.84491477173,0
